"t","Ph","Te","Isol"
2013-02-05 22:05:00,94,1.16933333333333,-0.54670542635
2013-02-05 22:35:00,94,1.24733333333333,-0.515633074933333
2013-02-05 23:05:00,98,0.646333333333333,-0.66485788115
2013-02-05 23:35:00,96,0.557666666666667,-0.597642118866667
2013-02-06 00:05:00,98,0.570833333333333,-0.746543927633333
2013-02-06 00:35:00,96,0.575833333333333,-0.921253229966667
2013-02-06 01:05:00,96,0.638166666666667,-0.942086563316667
2013-02-06 01:35:00,98,0.697,-0.855490956066667
2013-02-06 02:05:00,98,0.922166666666667,-0.350419896633333
2013-02-06 02:35:00,96,1.0485,-0.211466408266667
2013-02-06 03:05:00,98,1.15866666666667,-0.30587855295
2013-02-06 03:35:00,96,0.711166666666667,-0.679683462533333
2013-02-06 04:05:00,98,0.390166666666667,-0.213598191216667
2013-02-06 04:35:00,96,0.524833333333333,-0.520574935383333
2013-02-06 05:05:00,98,0.6535,-0.8590116279
2013-02-06 05:35:00,96,0.991333333333333,-1.48630490956667
2013-02-06 06:05:00,96,1.21533333333333,-0.273675710583333
2013-02-06 06:35:00,96,1.4185,0.104651162783333
2013-02-06 07:05:00,96,1.38666666666667,-0.09444444445
2013-02-06 07:35:00,96,1.35416666666667,0.44948320415
2013-02-06 08:05:00,94,1.679,1.1358850129
2013-02-06 08:35:00,96,1.124,7.1646640827
2013-02-06 09:05:00,94,0.731333333333333,11.7947674418667
2013-02-06 09:35:00,94,0.456333333333333,20.6236757106
2013-02-06 10:05:00,94,0.557166666666667,23.7233204134167
2013-02-06 10:35:00,92,0.720666666666667,19.0673126615167
2013-02-06 11:05:00,92,0.747166666666667,36.4368217054167
2013-02-06 11:35:00,92,0.9805,73.58653100775
2013-02-06 12:05:00,40,2.26033333333333,590.897448320417
2013-02-06 12:35:00,14,2.92683333333333,903.292764857883
2013-02-06 13:05:00,8,3.5675,771.169541343683
2013-02-06 13:35:00,28,3.848,514.161692506483
2013-02-06 14:05:00,36,4.01166666666667,454.31127260985
2013-02-06 14:35:00,42,4.273,478.229392764867
2013-02-06 15:05:00,36,4.544,302.8986757106
2013-02-06 15:35:00,58,3.9235,118.165213178283
2013-02-06 16:05:00,70,3.36933333333333,18.1230943152667
2013-02-06 16:35:00,72,3.335,24.1536498708167
2013-02-06 17:05:00,76,2.86933333333333,-0.259237726083333
2013-02-06 17:35:00,78,2.30633333333333,-2.11792635658333
2013-02-06 18:05:00,80,1.24866666666667,-2.43262273901667
2013-02-06 18:35:00,82,1.09333333333333,-1.02697028423333
2013-02-06 19:05:00,84,1.40166666666667,-0.923320413433333
2013-02-06 19:35:00,86,1.92766666666667,-0.770865633083333
2013-02-06 20:05:00,86,1.922,-0.889728682183333
2013-02-06 20:35:00,88,1.80566666666667,-0.4448643411
2013-02-06 21:05:00,90,1.52416666666667,-0.2786498708
2013-02-06 21:35:00,90,1.6165,-0.723901808783333
2013-02-06 22:05:00,90,1.02916666666667,-0.878391472866667
2013-02-06 22:35:00,92,0.854833333333333,-0.90103359175
2013-02-06 23:05:00,92,0.790166666666667,-0.5474483204
2013-02-06 23:35:00,92,0.756333333333333,-0.898255813966667
2013-02-07 00:05:00,94,0.891833333333333,-0.527260981933333
2013-02-07 00:35:00,94,0.866666666666667,-0.724935400516667
2013-02-07 01:05:00,94,0.973,-0.488759689916667
2013-02-07 01:35:00,94,0.947666666666667,-0.683591731283333
2013-02-07 02:05:00,94,0.944,-0.767021963816667
2013-02-07 02:35:00,94,0.7855,-0.749354005166667
2013-02-07 03:05:00,96,0.907,-0.324257105933333
2013-02-07 03:35:00,96,0.847333333333333,-0.64118217055
2013-02-07 04:05:00,94,0.836666666666667,-0.6007751938
2013-02-07 04:35:00,96,0.712333333333333,-0.855458656333333
2013-02-07 05:05:00,94,0.716666666666667,-0.6209625323
2013-02-07 05:35:00,96,0.530333333333333,-0.108914728683333
2013-02-07 06:05:00,96,0.646333333333333,-0.297416020666667
2013-02-07 06:35:00,96,0.611666666666667,-0.5120478036
2013-02-07 07:05:00,96,0.724,0.179295865633333
2013-02-07 07:35:00,94,0.720666666666667,3.83582041343333
2013-02-07 08:05:00,96,0.783666666666667,20.2509366925
2013-02-07 08:35:00,94,0.909666666666667,20.9054586563333
2013-02-07 09:05:00,94,0.9205,62.2115310077667
2013-02-07 09:35:00,88,1.32183333333333,42.5511627906833
2013-02-07 10:05:00,94,0.918666666666667,102.791634366917
2013-02-07 10:35:00,72,1.59283333333333,201.80516795865
2013-02-07 11:05:00,78,1.89183333333333,144.4635981912
2013-02-07 11:35:00,60,3.13733333333333,369.3962855297
2013-02-07 12:05:00,38,3.65766666666667,315.256072351417
2013-02-07 12:35:00,80,2.46916666666667,18.04173126615
2013-02-07 13:05:00,86,0.6595,12.6870478036167
2013-02-07 13:35:00,84,0.427333333333333,24.4715439276333
2013-02-07 14:05:00,60,1.29566666666667,192.3589147287
2013-02-07 14:35:00,82,0.963,23.1192506459833
2013-02-07 15:05:00,82,1.10766666666667,86.5299741602
2013-02-07 15:35:00,64,2.27866666666667,257.968604651167
2013-02-07 16:05:00,80,1.47816666666667,6.43863049096667
2013-02-07 16:35:00,86,1.01383333333333,4.23233204136667
2013-02-07 17:05:00,88,0.439,0.264890180883333
2013-02-07 17:35:00,88,0.227833333333333,-0.251388888883333
2013-02-07 18:05:00,90,0.357333333333333,-0.335626614983333
2013-02-07 18:35:00,90,0.525,-0.302357881116667
2013-02-07 19:05:00,92,0.385833333333333,-0.0876937984333333
2013-02-07 19:35:00,92,0.339833333333333,-0.212919896633333
2013-02-07 20:05:00,94,0.146333333333333,-0.108559431533333
2013-02-07 20:35:00,92,0.275,-0.0427971576166667
2013-02-07 21:05:00,94,0.3305,-0.05058139535
2013-02-07 21:35:00,96,0.1605,-0.276873385016667
2013-02-07 22:05:00,94,0.221833333333333,-0.174354005183333
2013-02-07 22:35:00,94,0.142833333333333,-0.0905684754333333
2013-02-07 23:05:00,96,0.185,-0.17357881135
2013-02-07 23:35:00,94,0.1225,-0.262758397933333
2013-02-08 00:05:00,96,0.161166666666667,-0.255329457383333
2013-02-08 00:35:00,96,0.238166666666667,-0.158785529733333
2013-02-08 01:05:00,96,0.196,-0.0827519379833333
2013-02-08 01:35:00,96,0.0821666666666667,-0.2634366925
2013-02-08 02:05:00,96,-0.138666666666667,-0.947383720916667
2013-02-08 02:35:00,96,-0.153333333333333,-1.01495478035
2013-02-08 03:05:00,96,-0.342333333333333,-1.13691860466667
